#광역	국회의원선거구	행정동(읍면)	더민주타깃	더민주평균	더민주적극	더민주소극	제3당(무소속)	새누리소극	새누리적극	새누리평균	새누리타깃
서울	노원구갑		 9.524 	 50.698 	 44.342 	 6.356 	 3.168 	 4.545 	 41.589 	 46.134 	 7.713 
서울	노원구병	상계8동	 31.160 	 45.079 	 33.000 	 12.079 	 19.081 	 2.433 	 33.406 	 35.840 	 21.515 
서울	노원구병	상계9동	 26.100 	 40.720 	 33.000 	 7.720 	 18.380 	 3.874 	 37.026 	 40.900 	 22.254 
서울	노원구병	상계10동	 24.828 	 40.051 	 33.000 	 7.051 	 17.777 	 3.694 	 38.478 	 42.172 	 21.471 
서울	노원구병	상계1동	 22.512 	 38.531 	 33.000 	 5.531 	 16.981 	 3.099 	 41.388 	 44.488 	 20.081 
서울	노원구병	상계5동	 22.348 	 38.235 	 33.000 	 5.235 	 17.113 	 4.519 	 40.133 	 44.652 	 21.632 
서울	노원구병	상계3.4동	 21.639 	 37.938 	 33.000 	 4.938 	 16.702 	 3.817 	 41.544 	 45.361 	 20.519 
서울	노원구병	상계2동	 20.736 	 37.659 	 33.000 	 4.659 	 16.077 	 2.955 	 43.309 	 46.264 	 19.032 
서울	노원구병		 24.189 	 39.745 	 33.000 	 6.745 	 17.444 	 3.485 	 39.326 	 42.811 	 20.929 
서울	노원구을	중계1동	 8.015 	 53.021 	 47.345 	 5.676 	 2.339 	 6.344 	 38.296 	 44.641 	 8.683 
서울	노원구을	상계6.7동	 8.012 	 54.023 	 48.515 	 5.508 	 2.504 	 4.242 	 39.230 	 43.473 	 6.747 
서울	노원구을	하계2동	 7.926 	 52.631 	 47.029 	 5.602 	 2.324 	 4.853 	 40.192 	 45.045 	 7.177 
서울	노원구을	중계본동	 7.105 	 49.990 	 45.180 	 4.810 	 2.296 	 5.715 	 41.999 	 47.714 	 8.011 
서울	노원구을	하계1동	 7.038 	 49.023 	 44.490 	 4.533 	 2.505 	 4.528 	 43.944 	 48.472 	 7.033 
서울	노원구을	중계2.3동	 6.661 	 53.625 	 49.537 	 4.088 	 2.573 	 3.588 	 40.214 	 43.802 	 6.162 
서울	노원구을	중계4동	 6.423 	 52.178 	 48.081 	 4.097 	 2.326 	 3.477 	 42.019 	 45.496 	 5.803 
서울	노원구을		 7.312 	 52.070 	 47.168 	 4.902 	 2.410 	 4.678 	 40.842 	 45.520 	 7.088 
서울	도봉구갑	창4동	 9.306 	 54.232 	 46.999 	 7.233 	 2.074 	 3.502 	 40.193 	 43.695 	 5.575 
서울	도봉구갑	창1동	 8.679 	 55.083 	 48.490 	 6.593 	 2.085 	 4.600 	 38.231 	 42.831 	 6.686 
서울	도봉구갑	창5동	 8.329 	 51.000 	 44.747 	 6.253 	 2.077 	 3.913 	 43.010 	 46.923 	 5.990 
서울	도봉구갑	쌍문1동	 7.813 	 52.359 	 46.466 	 5.893 	 1.920 	 3.370 	 42.351 	 45.721 	 5.290 
서울	도봉구갑	창2동	 7.618 	 55.036 	 49.565 	 5.471 	 2.147 	 3.950 	 38.867 	 42.817 	 6.097 
서울	도봉구갑	쌍문3동	 6.995 	 54.378 	 49.658 	 4.721 	 2.274 	 4.083 	 39.265 	 43.347 	 6.357 
서울	도봉구갑	창3동	 5.934 	 54.162 	 50.415 	 3.748 	 2.186 	 4.017 	 39.634 	 43.652 	 6.203 
서울	도봉구갑		 7.811 	 53.750 	 48.049 	 5.702 	 2.109 	 3.919 	 40.222 	 44.141 	 6.028 
서울	도봉구을	쌍문4동	 7.965 	 50.044 	 44.344 	 5.700 	 2.265 	 2.997 	 44.694 	 47.691 	 5.262 
서울	도봉구을	방학3동	 7.671 	 51.094 	 45.696 	 5.398 	 2.273 	 2.834 	 43.798 	 46.633 	 5.108 
서울	도봉구을	쌍문2동	 6.251 	 51.652 	 47.653 	 3.999 	 2.252 	 1.987 	 44.109 	 46.096 	 4.238 
서울	도봉구을	도봉1동	 5.380 	 48.208 	 44.863 	 3.344 	 2.036 	 1.301 	 48.455 	 49.756 	 3.337 
서울	도봉구을	방학2동	 5.339 	 51.785 	 48.598 	 3.187 	 2.153 	 1.054 	 45.009 	 46.063 	 3.206 
서울	도봉구을	방학1동	 5.226 	 50.259 	 47.138 	 3.121 	 2.105 	 2.224 	 45.412 	 47.636 	 4.330 
서울	도봉구을	도봉2동	 4.808 	 51.566 	 48.876 	 2.690 	 2.118 	 1.309 	 45.007 	 46.316 	 3.427 
서울	도봉구을		 6.091 	 50.658 	 46.738 	 3.920 	 2.172 	 1.958 	 45.212 	 47.170 	 4.130 
서울	동대문구갑	회기동	 8.575 	 53.452 	 48.078 	 5.374 	 3.201 	 5.223 	 38.124 	 43.347 	 8.424 
서울	동대문구갑	휘경제2동	 7.892 	 52.797 	 48.104 	 4.692 	 3.199 	 3.965 	 40.039 	 44.004 	 7.164 
서울	동대문구갑	휘경제1동	 7.444 	 51.676 	 47.601 	 4.075 	 3.369 	 2.231 	 42.724 	 44.955 	 5.599 
서울	동대문구갑	이문제2동	 7.261 	 52.863 	 48.621 	 4.241 	 3.019 	 2.898 	 41.220 	 44.118 	 5.917 
서울	동대문구갑	이문제1동	 7.052 	 52.363 	 48.983 	 3.380 	 3.672 	 1.752 	 42.212 	 43.965 	 5.424 
서울	동대문구갑	제기동	 6.099 	 50.221 	 47.389 	 2.832 	 3.266 	 2.016 	 44.497 	 46.513 	 5.282 
서울	동대문구갑	청량리동	 5.443 	 44.418 	 41.746 	 2.672 	 2.771 	 1.466 	 51.344 	 52.811 	 4.238 
서울	동대문구갑	용신동	 5.181 	 51.289 	 48.921 	 2.368 	 2.813 	 1.780 	 44.118 	 45.898 	 4.593 
서울	동대문구갑		 6.868 	 51.135 	 47.431 	 3.704 	 3.164 	 2.666 	 43.035 	 45.701 	 5.830 
서울	동대문구을	전농제2동	 7.181 	 50.542 	 45.484 	 5.057 	 2.124 	 2.618 	 44.717 	 47.335 	 4.742 
서울	동대문구을	답십리제2동	 6.672 	 53.081 	 48.801 	 4.280 	 2.392 	 2.099 	 42.428 	 44.527 	 4.491 
서울	동대문구을	장안제2동	 5.997 	 51.820 	 47.899 	 3.922 	 2.075 	 1.706 	 44.399 	 46.104 	 3.781 
